商业创意规则（ABCD + Hook-Body-Close）,ABCD-注意力
,ABCD-品牌识别
,ABCD-情感连接
,ABCD-行动指引
,Hook-Body-Close结构
开头与注意力,开场类型
,黄金3秒内容
,留存钩子
,首帧冲击点
,中途留存机制
,视觉刺激手段
内容结构与节奏,视频结构
,镜头节奏
,信息密度
,冲突/问题
,叙事推进
,结果兑现
,结尾记忆点
品牌与产品表达,品牌露出
,出现时间
,产品展示方式
,卖点表达
,卖点证据
,差异化记忆点
,使用场景
,包装/Logo/品牌资产
视觉与听觉执行,场景
,画面风格
,构图与主体
,景别与机位
,运镜与转场
,色彩
,光线质感
,字幕/屏显信息
,声音与音乐
,竖屏安全区
用户洞察与信任,目标受众
,用户痛点
,情绪触发
,购买理由
,信任证据
,异议/风险消除
,人物/创作者角色
转化设计,CTA
,福利
,价格/优惠
,紧迫感
,评论引导
,互动机制
,转化路径
传播、增长与风险,可分享话题
,可模仿/UGC机制
,社交货币
,品牌记忆资产
,多版本测试建议
,平台适配建议
,宣称/证明风险
,信息缺口
